"city","address_id","street1","street2","zipcode","state","po_box","lat","lng","formatted_address"
"Danville",0,"115 Woodbine Lane","","17821","PA","",40.9620436,-76.5735633,"115 Woodbine Ln, Danville, PA 17821, USA"
"Danville",1,"100 N Academy Ave","","17822","PA","",40.9678097,-76.6052513,"100 N Academy Ave, Danville, PA 17822, USA"
"Milton",2,"964 Carpenter Rd","","17847","PA","",41.0064339,-76.8275869,"964 Carpenter Rd, Milton, PA 17847, USA"
"Milton",3,"155 S Arch St Ste B","","17847","PA","",41.0176761,-76.8536347,"155 S Arch St b, Milton, PA 17847, USA"
"Northumberland",4,"112 Ironstone Dr","","17857","PA","",40.9082178,-76.7905638,"Ironstone Dr, Northumberland, PA 17857, USA"
"Bloomsburg",5,"2407 Reichart Rd","","17815","PA","",41.024146,-76.421015,"2407 Reichart Rd, Bloomsburg, PA 17815, USA"
"Bloomsburg",6,"6850 Lows Rd","","17815","PA","",41.03304,-76.3527359,"6850 Lows Rd, Bloomsburg, PA 17815, USA"
"Millville",7,"515 Jerseytown Rd","","17846","PA","",41.1046095,-76.5533426,"515 Jerseytown Rd, Millville, PA 17846, USA"
"Elysburg",8,"289 S Market St","","17824","PA","",40.8607863,-76.547633,"289 S Market St, Elysburg, PA 17824, USA"
"Elysburg",9,"106 S Market St","","17824","PA","",40.8559406,-76.543771,"106 S Market St, Elysburg, PA 17824, USA"
"Watsontown",10,"12560 State Route 405","","17777","PA","",41.1366678,-76.8783648,"12560 PA-405, Watsontown, PA 17777, USA"
"Sunbury",11,"409 N 4th St","","17801","PA","",40.866181,-76.7884511,"409 N 4th St, Sunbury, PA 17801, USA"
"Sunbury",12,"385 State St","","17801","PA","",40.8590854,-76.7699028,"385 State St, Sunbury, PA 17801, USA"
"Shamokin Dam",13,"3057 N Susquehanna Trl","PO Box 310","17876","PA","310",40.8473243,-76.8219881,"3057 N Susquehanna Trail, Shamokin Dam, PA 17876, USA"
"Catawissa",14,"353 Main St","","17820","PA","",40.952454,-76.460098,"353 Main St, Catawissa, PA 17820, USA"
"Muncy",15,"10 Shady Ln Ste 103","","17756","PA","",41.2126681,-76.7747208,"10 Shady Ln #103, Muncy, PA 17756, USA"
"Lewisburg",16,"3 Hospital Dr Ste 102","","17837","PA","",40.979254,-76.887988,"3 Hospital Dr #102, Lewisburg, PA 17837, USA"
"Lewisburg",17,"3 Hospital Dr Ste 214","","17837","PA","",40.979254,-76.887988,"3 Hospital Dr #214, Lewisburg, PA 17837, USA"
"Lewisburg",18,"131 Jpm Rd","","17837","PA","",40.9760164,-76.8923868,"131 JPM Rd, Lewisburg, PA 17837, USA"
"Lewisburg",19,"250 Reitz Blvd","","17837","PA","",40.9612662,-76.9106289,"250 Reitz Blvd, Lewisburg, PA 17837, USA"
"Lewisburg",20,"3 Hospital Dr Ste 206","","17837","PA","",40.979254,-76.887988,"3 Hospital Dr #206, Lewisburg, PA 17837, USA"
"Selinsgrove",21,"935 Route 522","","17870","PA","",40.8072354,-76.8768056,"935 Rte 522, Selinsgrove, PA 17870, USA"
"Selinsgrove",22,"21 Susquehanna Valley Mall Dr Ste A","","17870","PA","",40.8200908,-76.8489877,"21 Susquehanna Valley Mall Dr a, Selinsgrove, PA 17870, USA"
"Selinsgrove",23,"201 Roosevelt Ave","","17870","PA","",40.829411,-76.8498308,"201 Roosevelt Ave, Selinsgrove, PA 17870, USA"
"Kulpmont",24,"119 Nevada Dr","","17834","PA","",40.7867136,-76.4554678,"119 Nevada Dr, Kulpmont, PA 17834, USA"
"Hughesville",25,"246 S Main St","","17737","PA","",41.2377671,-76.7281004,"246 S Main St, Hughesville, PA 17737, USA"
"Montoursville",26,"1500 Broad St","","17754","PA","",41.246248,-76.900957,"1500 Broad St, Montoursville, PA 17754, USA"
"Montoursville",27,"780 Broad St Ste 4","","17754","PA","",41.2473303,-76.9157777,"780 Broad St #4, Montoursville, PA 17754, USA"
"Montoursville",28,"900 Plaza Dr","","17754","PA","",41.2465172,-76.9125213,"900 Plaza Dr, Montoursville, PA 17754, USA"
"Montoursville",29,"900 Plaza Dr Ste A","","17754","PA","",41.2465172,-76.9125213,"900 Plaza Dr a, Montoursville, PA 17754, USA"
"Mifflinburg",30,"101 Meadow Green Dr","","17844","PA","",40.9252785,-77.03244,"101 Meadow Green Dr, Mifflinburg, PA 17844, USA"
"Mifflinburg",31,"137 Forest Hill Rd","","17844","PA","",40.924845,-77.040237,"137 Forest Hill Rd, Mifflinburg, PA 17844, USA"
"Berwick",32,"2200 W Front St","","18603","PA","",41.0469177,-76.2744733,"2200 W Front St, Berwick, PA 18603, USA"
"Herndon",33,"1244 Hwy 225","","17830","PA","",40.6666035,-76.8307322,"1244 PA-225, Herndon, PA 17830, USA"
"Williamsport",34,"699 Hastings St","","17702","PA","",41.2286101,-76.9901071,"699 Hastings St, South Williamsport, PA 17702, USA"
"Williamsport",35,"145 Shaffer St","","17702","PA","",41.2243353,-77.036335,"145 Shaffer St, Duboistown, PA 17702, USA"
"Benton",36,"4469 Red Rock Rd","","17814","PA","",41.209378,-76.378058,"4469 Red Rock Rd, Benton, PA 17814, USA"
"Williamsport",37,"740 High St Ste 4001","","17701","PA","",41.2453566,-77.0164029,"740 High St #4001, Williamsport, PA 17701, USA"
"Williamsport",38,"1205 River Ave 1st Fl","","17701","PA","",41.2530359,-76.9814205,"1205 River Ave, Williamsport, PA 17701, USA"
"Williamsport",39,"1205 River Ave 2nd Fl","","17701","PA","",41.2530359,-76.9814205,"1205 River Ave, Williamsport, PA 17701, USA"
"Williamsport",40,"904 Campbell St Ste 202","","17701","PA","",41.2488063,-77.0178881,"904 Campbell St #202, Williamsport, PA 17701, USA"
"Williamsport",41,"1205 Grampian Blvd Ste 3C","","17701","PA","",41.2608076,-76.9820487,"1205 Grampian Blvd #3c, Williamsport, PA 17701, USA"
"Williamsport",42,"1705 Warren Ave Ste 303","","17701","PA","",41.2601079,-76.9813915,"1705 Warren Ave #303, Williamsport, PA 17701, USA"
"Williamsport",43,"700 High St 9th Fl","","17701","PA","",41.2469994,-77.01541,"700 High St, Williamsport, PA 17701, USA"
"Williamsport",44,"904 Campbell St Ste 102","","17701","PA","",41.2488063,-77.0178881,"904 Campbell St #102, Williamsport, PA 17701, USA"
"Middleburg",45,"412 W Market St","","17842","PA","",40.794099,-77.0542959,"412 W Market St, Middleburg, PA 17842, USA"
"Middleburg",46,"1 Dock Hill Rd","","17842","PA","",40.789767,-77.031468,"1 Dock Hill Rd, Middleburg, PA 17842, USA"
"Valley View",47,"105 W Main St","","17983","PA","",40.647506,-76.520278,"105 W Main St, Valley View, PA 17983, USA"
"Frackville",48,"701 W Oak St","PO Box 506","17931","PA","506",40.7817052,-76.2415429,"701 W Oak St, Frackville, PA 17931, USA"
"Lykens",49,"517 South St","","17048","PA","",40.565485,-76.702887,"517 South St, Lykens, PA 17048, USA"
"Mount Pleasant Mills",50,"9627 Hwy 35 Ste 10","","17853","PA","",40.721536,-77.022088,"9627 PA-35 #10, Mt Pleasant Mills, PA 17853, USA"
"Pottsville",51,"529 Terry Reiley Way","","17901","PA","",40.6904848,-76.1969338,"529 Terry Reiley Way, Pottsville, PA 17901, USA"
"Mahanoy City",52,"31 S Main St","","17948","PA","",40.8119968,-76.141467,"31 S Main St, Mahanoy City, PA 17948, USA"
"Elizabethville",53,"282 W Main St","","17023","PA","",40.547392,-76.819368,"282 W Main St, Elizabethville, PA 17023, USA"
"Nanticoke",54,"128 E Main St","","18634","PA","",41.205763,-76.002461,"128 E Main St, Nanticoke, PA 18634, USA"
"Hazleton",55,"426 Airport Rd","","18202","PA","",40.9848377,-76.0207603,"426 Airport Rd, Hazleton, PA 18202, USA"
"Halifax",56,"101 Fisher St","","17032","PA","",40.4714674,-76.9331106,"101 Fisher St, Halifax, PA 17032, USA"
"Mountain Top",57,"35 S Mountain Blvd","","18707","PA","",41.160319,-75.887541,"35 S Mountain Blvd, Mountain Top, PA 18707, USA"
"Orwigsburg",58,"300 Hollywood Blvd","","17961","PA","",40.6412297,-76.089902,"300 Hollywood Blvd, Orwigsburg, PA 17961, USA"
"Kingston",59,"499 Wyoming Ave","","18704","PA","",41.2677562,-75.889902,"499 Wyoming Ave, Kingston, PA 18704, USA"
"Dallas",60,"114 Lt Michael Cleary Dr","","18612","PA","",41.3310082,-75.9495163,"114 Lt. Michael Cleary Dr, Dallas, PA 18612, USA"
"Harrisburg",61,"1199 Colonial Rd","","17112","PA","",40.3160979,-76.821917,"1199 Colonial Rd, Harrisburg, PA 17112, USA"
"Wilkes Barre",62,"836 N Washington St","","18705","PA","",41.260422,-75.857427,"836 N Washington St, Wilkes-Barre, PA 18705, USA"
"Wilkes Barre",63,"50 Roosevelt Ter","","18702","PA","",41.236502,-75.909663,"50 Roosevelt Terrace, Wilkes-Barre, PA 18702, USA"
"Wilkes Barre",64,"175 S Wilkes Barre Blvd","","18702","PA","",41.2401303,-75.8835983,"175 S Wilkes-Barre Blvd, Wilkes-Barre, PA 18702, USA"
"Lock Haven",65,"955 Bellefonte Ave","","17745","PA","",41.1301208,-77.4654108,"955 Bellefonte Ave, Lock Haven, PA 17745, USA"
"Lock Haven",66,"610 High St","","17745","PA","",41.1292676,-77.465646,"610 High St, Lock Haven, PA 17745, USA"
"Mifflintown",67,"2813 Industrial Park Rd","","17059","PA","",40.583386,-77.368658,"2813 Industrial Park Rd, Mifflintown, PA 17059, USA"
"Mifflintown",68,"27 Cjems Ln Ste 4","","17059","PA","",40.5766289,-77.381093,"27 CJEMS Ln #4, Mifflintown, PA 17059, USA"
"Spring Mills",69,"3631 Penns Valley Rd","","16875","PA","",40.8492252,-77.605541,"3631 Penns Valley Rd, Spring Mills, PA 16875, USA"
"Harrisburg",70,"2850 Commerce Dr Ste 300","","17110","PA","",40.3120886,-76.8364952,"2850 Commerce Dr #300, Harrisburg, PA 17110, USA"
"Mifflin",71,"56 Jam House Rd","","17058","PA","",40.55805,-77.414272,"56 Jam House Rd, Mifflin, PA 17058, USA"
"Harrisburg",72,"4830 Londonderry Rd","","17109","PA","",40.2847859,-76.807261,"4830 Londonderry Rd, Harrisburg, PA 17109, USA"
