"group_code","group_id","group_name"
"psg knapper fp",0,"Geisinger Woodbine - Family Medicine"
"gmc-internal me",1,"GMC General Internal Medicine"
"emso milton",2,"Evangelical Medical Services - Milton"
"gmg-milton",3,"Geisinger Clinic - Milton"
"emso northumb",4,"Evangelical Medical Services - Northumberland"
"gmg-bloom-reich",5,"Geisinger Clinic - Bloomsburg Family Practice"
"svoapcp",6,"Susquehanna Valley Medical Specialities"
"gmg-millville",7,"Geisinger Clinic - Millville"
"famprcctrelysbu",8,"Family Practice Center, PC - Elysburg"
"gmgelysburg106",9,"Geisinger Clinic - Elysburg"
"familypracwats",10,"Family Practice Center, PC - Watsontown"
"fampracctrsunbu",11,"Family Practice Center PC - Sunbury"
"gmg-sunbury",12,"Geisinger Clinic - Sunbury"
"fampractctrsham",13,"Family Practice Center, PC - Shamokin Dam"
"gmg-catawissa",14,"Geisinger Clinic - Catawissa"
"fpc10",15,"Family Practice Center PC - Muncy"
"emso persing",16,"Evangelical Medical Services - Persing"
"emso family med",17,"Family Medicine of Evangelical – Lewisburg POB"
"fampractctrlew",18,"Family Practice Center, PC - Lewisburg"
"gmg-lewisburg",19,"Geisinger Clinic - Lewisburg"
"emso int med",20,"Internal Medicine of Evangelical - POB 206"
"emsoselinsgrove",21,"Evangelical Medical Services - Selinsgrove"
"fampractctrsel",22,"Family Practice Center, PC - Selinsgrove"
"gmg-selinsgrove",23,"Geisinger Clinic - Selinsgrove"
"gmg-kulpmont",24,"Geisinger Clinic - Kulpmont"
"lycomhugh",25,"Family Practice Center, PC - Hughesville"
"familypracmont",26,"Family Practice Center, PC - Montoursville"
"gmg-lycoming",27,"Geisinger Clinic - Lycoming"
"spssavoyyoung",28,"SPS Savoy - Rodriguez Lopez"
"sps savoy wright",29,"SPS Savoy Family Medicine - Klucka"
"sps savoy mullarkey",30,"SPS Savoy Family Medicine - Mullarkey"
"sps savoy",31,"SPS Savoy Family Medicine - Weisner"
"emso mifflinburg",32,"Evangelical Medical Services - Mifflinburg"
"fampracctr.miff",33,"Family Practice Center, PC - Mifflinburg"
"gmg-berwick",34,"Geisinger Clinic - Berwick"
"family practice",35,"Family Practice Center PC - Herndon"
"fampracctrss",36,"Family Practice Center PC - Southside"
"spsbhl",37,"Susquehanna Hlth Family Medicine at Duboistown"
"gmgbenton",38,"Geisinger Clinic - Benton"
"spsfmrc",39,"Family Medicine Residency Center"
"familypc1205a",40,"Family Practice Center PC -  River Ave 1st Fl"
"fampractwilliamsport",41,"Family Practice Center PC  - River Ave 2nd Fl"
"fampracctr904",42,"Family Practice Center PC - Campbell St"
"spsloyalsockfp",43,"Susquehanna Hlth Family Medicine at Loyalsock"
"spsgrampian8501",44,"Susquehanna Hlth Family Medicine at Warren Ave"
"susqphysservpeds",45,"Susquehanna Hlth Internal Medicine & Pediatrics"
"spswillim",46,"Susquehanna Hlth Internal Medicine at Campbell St"
"emsf krebs",47,"Evangelical Medical Services - Middleburg"
"fampracctrmiddl",48,"Family Practice Center, PC - Middleburg"
"1154376937",49,"Family Practice Center PC - Valley View"
"gmg-frack (fp)",50,"Geisinger Clinic - Frackville Family Practice"
"fampracctrlyk",51,"Family Practice Center, PC - Lykens"
"fampracctrmtple",52,"Family Practice Center, PC - Mt. Pleasant Mills"
"gmg-pot ob arch",53,"Geisinger - Pottsville"
"gmg-mahanoy cit",54,"Geisinger Clinic - Mahanoy City"
"fpcelizabeth282",55,"Family Practice Center PC - Elizabethville"
"gmgnanticoke",56,"Geisinger Clinic - Nanticoke"
"gmg-hazleton",57,"Geisinger Clinic - Hazleton"
"fpc101halifax",58,"Family Practice Center PC"
"gmg-mountaintop",59,"Geisinger Clinic - Mountain Top"
"gmg-orwig (fp)",60,"Geisinger Clinic - Orwigsburg"
"gmg-kingston",61,"Geisinger Clinic - Kingston"
"gmg-dallas",62,"Geisinger Clinic - Dallas"
"fpckfk1199",63,"Family Practice Center PC - Colonial Rd"
"gmgnorthwash",64,"Geisinger Clinic - North Washington St"
"gmg so wilkes",65,"Geisinger Community Practice South Wilkes Barre"
"psghg wb",66,"Geisinger Kistler Clinic"
"gmg-lock hav",67,"Geisinger Clinic - Haven"
"spslockhaven",68,"Susquehanna Hlth Family Medicine at Lock Haven"
"family prac mif",69,"Family Practice Center, PC - Mifflintown"
"familyhealthmiff",70,"Geisinger Family Health Associates-Mifflintown"
"pennsvalleyafm",71,"Mount Nittany Physician Group- Penns Valley"
"fpccommerce2850",72,"Family Practice Center - Commerce"
"gmg-juniata fhc",73,"Geisinger Clinic - Mifflin"
"fpcharris",74,"Family Practice Center, PC- Harrisburg"
"gmg-pittston",75,"Geisinger Clinic - Pittston"
"fampractice3003",76,"Family Practice Center - Hershey"
"gmg-tunkhannock",77,"Geisinger Clinic - Tunkhannock"
"kambicfm",78,"Family Practice Center PC - Steelton"
"fampracctrsteel",79,"Family Practice Center PC - Steelton"
"gmg-moosic",80,"Geisinger Clinic - Moosic"
"ghsprmed532",81,"Geisinger PrimeMed - Moosic"
"gmg-lewistown",82,"Geisinger Clinic - Lewistown"
"family health a",83,"Geisinger Family Health Associates-Highland Ave"
"mtnittanyreeds96",84,"Mount Nittany Physician Group - Reedsville"
"gmg-bellefonte",85,"Geisinger Clinic - Bellefonte"
"159992554e",86,"Mount Nittany Physician Group - Bellefonte"
"fpc203newcumberland",87,"Family Practice Center PC - New Cumberland"
"ghsprmed231",88,"Geisinger PrimeMed - Clarks Summit"
"ghsprmed790",89,"Geisinger PrimeMed - Clarks Summit"
"ghsprmed743",90,"Geisinger PrimeMed - Scranton"
"ghsprmed2232",91,"Geisinger PrimeMed - Scranton"
"gmg-lake scrant",92,"Geisinger Clinic - Mt Pleasant"
"ghsprmed1140",93,"Geisinger PrimeMed - Dunmore"
"ghsprmed128",94,"Geisinger PrimeMed - Scranton"
"fampracloyvl",95,"Family Practice Center PC - Loysville"
"fpc689yorktown",96,"Family Practice Center, PC - Lewisberry"
"gmg-scenery par",97,"Geisinger Clinic - Scenery Park"
"familyhealthmif",98,"Geisinger Family Health Associates-Belleville"
"ghsprmed221",99,"Geisinger PrimeMed - Olyphant"
"ghsprmed407",100,"Geisinger PrimeMed - Jessup"
