"field_type_id","default_value","required_field","search_id","field_options"
0,"FALSE",TRUE,0,NA
1,"True",TRUE,0,NA
2,"pgrpnp",TRUE,0,NA
3,"geisinger-choice-ppo",TRUE,0,NA
4,"-1",TRUE,0,NA
5,"",TRUE,0,NA
6,NA,TRUE,0,"10&20&30&40&50&60&70&80&90&100"
7,"",FALSE,0,NA
8,"",FALSE,0,NA
9,NA,FALSE,0,"&ACUPUNCTURE&ADOL_MED&ALLERGY&CARDIOLOGY&CHIRO&CLIN_GEN&CLIN_NEU&COL_SURG&CC_MED&DERMATOLOGY&DERMPATH&ENDO&FP&GASTRO&GP&GERIATRICS&GYN_ONC&GYNECOLOGY&HAND_SURG&HEMATOLOGY&INF_DIS&INT_MED&IM_PEDS&INT_CARD&MF_MED&MED_ONC&NEONATAL&NEPHROLOGY&ND_DIS&NEU_SURG&NEUROLOGY&NEU_PSYCH&MIDWIFE&OB_GYN&OCC_MED&OPHTHALMOLOGY&OPTOMETRY&ORAL_SURG&ORTHO_SURG&OTOLARYNGOLOGY&PAIN_MGMT&PED_ALL&PED_CARD&PED_CCM&PED_DENT&PED_ENDO&PED_GASTRO&PED_HEMONC&PED_ID&PED_NEPH&PED_NEURO&PED_PULM&PED_RHEUM&PED_SURG&PEDIATRICS&PHYSIATRY&PLASTIC_SURG&PODIATRY&PREV_MED&PSYCHIATRY&PUL_DIS&RAD_ONC&REP_ENDO&RHEUMATOLOGY&SLEEP_MED&SOC_WORK&SPORTS_MED&SURGERY&SURG_CC&THOR_SURG&UROLOGY&VASC_RAD&VASC_SURG"
10,"TRUE",FALSE,0,NA
11,"TRUE",FALSE,0,NA
0,"FALSE",TRUE,2,NA
1,"True",TRUE,2,NA
2,"pgrpnp",TRUE,2,NA
3,"geisinger-choice-ppo",TRUE,2,NA
4,"21",TRUE,2,NA
5,"",TRUE,2,NA
6,NA,TRUE,2,"10&20&30&40&50&60&70&80&90&100"
10,"TRUE",FALSE,2,NA
11,"TRUE",FALSE,2,NA
12,"",FALSE,2,NA
0,"FALSE",TRUE,3,NA
1,"True",TRUE,3,NA
2,"pgrpnp",TRUE,3,NA
3,"geisinger-choice-ppo",TRUE,3,NA
4,"23",TRUE,3,NA
